scores,magnitude,score,positive,negative,neutral,mixed
0.5,0.5,0,0.520208478,0.014130431,0.445201427,0.020459665
0.5,3.799999952,0.300000012,0.48988685,0.0231115,0.450481474,0.036520235
0.5,0,0,0.986332059,0.000101613,0.008474727,0.005091659
0.5,1.299999952,0.100000001,0.73191756,0.070782147,0.124781542,0.07251884
0.5,1.299999952,0.200000003,0.67170459,0.055446267,0.083980054,0.188869014
0.5,0.300000012,0.100000001,0.791790426,0.000764116,0.205029652,0.002415783
0.5,0.899999976,0.300000012,0.990426481,0.000151784,0.008285094,0.001136648
0.5,1.600000024,0.200000003,0.640247345,0.191943079,0.108337812,0.059471756
0.5,1.399999976,0.100000001,0.577219367,0.037048325,0.259694636,0.126037583
0.777238488,0.899999976,0.200000003,0.740362704,0.001084493,0.256121248,0.002431481
0.5,0.800000012,0,0.567712009,0.022077885,0.399132311,0.011077764
0.5,0.100000001,0.100000001,0.755609095,0.02671059,0.204977319,0.012702966
0.5,0.5,0.200000003,0.520624399,0.058707729,0.362875462,0.057792369
0.5,1.299999952,0.600000024,0.599090397,0.098318532,0.280311733,0.022279348
0.5,0,0,0.292205542,0.240056142,0.180903733,0.286834598
0.5,1.299999952,0.600000024,0.974699378,0.003392417,0.015028924,0.006879293
0.702991962,0.300000012,-0.100000001,0.541698098,0.00439918,0.292789042,0.161113635
0.5,1.100000024,0,0.848068595,8.95713E-05,0.149980783,0.001860994
0.5,0,0,0.637169003,0.041899733,0.117143728,0.20378755
0.5,0.400000006,0,0.513872504,0.031602997,0.301200271,0.153324217
0.5,1.200000048,0.600000024,0.685788214,0.021338435,0.229950473,0.06292285
0.5,0,0,0.735998988,0.000307053,0.258056939,0.005637016
0.5,2.799999952,0.400000006,0.978469849,0.000175218,0.016932065,0.004422886
0.779048204,2.5,0.600000024,0.955375016,0.003398765,0.029021438,0.012204757
0.5,5.400000095,0.600000024,0.422122091,0.115922064,0.318658829,0.143296897
0.5,0.300000012,0,0.431371987,0.07872615,0.409181863,0.080719925
0.757103741,0,0,0.49799037,0.017958175,0.469041228,0.015010202
0.5,2.400000095,0.600000024,0.606468379,0.001003376,0.389345914,0.003182296
0.806614876,0,0,0.952349424,0.000950658,0.009481919,0.037217971
0.832758129,3.400000095,0.400000006,0.962899923,0.000786519,0.025897354,0.010416212
0.862690806,2,0.600000024,0.86397475,0.003266805,0.12924023,0.003518256
0.954425633,0.899999976,0.400000006,0.514027178,0.072960213,0.294406563,0.118606091
0.5,0,0,0.949419379,0.000159203,0.045788202,0.004633194
0.912122607,0.899999976,0.899999976,0.435021132,0.112166435,0.035316769,0.417495668
0.22331515,0.5,-0.100000001,0.985336006,4.22025E-05,0.011695532,0.002926261
0.5,9.399999619,0.300000012,0.945111036,2.21661E-05,0.051866867,0.002999987
0.5,0.100000001,0,0.852928579,0.000605867,0.13054736,0.015918178
0.5,0.899999976,-0.100000001,0.77599293,0.002402246,0.213798359,0.007806364
0.5,6.900000095,0.300000012,0.756139219,0.008189658,0.201485589,0.034185544
0.5,3.700000048,0.100000001,0.75875926,0.000533035,0.225448579,0.015259076
0.69639194,0.5,0,0.493224829,0.195090801,0.229676709,0.082007617
0.5,1.600000024,0,0.919721246,0.002302534,0.027668577,0.050307658
0.903003156,6.5,0.300000012,0.955813885,0.001616317,0.029749515,0.012820342
0.5,2.799999952,0.300000012,0.833008528,0.000895008,0.144982755,0.02111377
0.5,1.100000024,0.100000001,0.722694337,0.002565175,0.270006984,0.004733557
0.743827164,1.100000024,-0.100000001,0.341215253,0.202058926,0.279024065,0.177701816
0.824808717,3.099999905,0.200000003,0.890882909,0.001132855,0.081971213,0.026013045
0.5,0,0,0.790220141,0.01200942,0.150778338,0.046992198
0.757207274,1.299999952,0,0.622646332,0.024957148,0.342796922,0.00959962
0.5,1.399999976,0.400000006,0.69247061,0.012105157,0.237847745,0.057576548
0.270512879,0.200000003,0.200000003,0.676106334,0.038126361,0.227504268,0.058263041
0.832812667,0.5,0.100000001,0.762781441,0.063467629,0.109695353,0.064055666
0.800997555,0,0,0.786490619,0.001693158,0.197552219,0.014264014
0.836982846,0.5,0.200000003,0.934581161,0.004229967,0.047265254,0.013923671
0.5,0.100000001,0,0.646751463,0.014442572,0.288199067,0.05060678
0.5,2.700000048,0.200000003,0.976971805,0.000136087,0.019090613,0.003801644
0.5,0,0,0.428802222,0.06191621,0.366259992,0.143021569
0.5,2.099999905,0.100000001,0.550009131,0.012953714,0.427309811,0.009727357
0.5,0,0,0.679145753,0.004702582,0.274053365,0.042098217
0.5,0.899999976,0.300000012,0.862068713,0.011189999,0.087520346,0.03922084
0.5,4.099999905,0.300000012,0.443306595,0.023474971,0.411260754,0.121957704
0.5,0,0,0.980531514,0.000658881,0.014886114,0.003923445
0.803996444,0.600000024,0.100000001,0.361780494,0.242207125,0.123953432,0.272058934
0.5,3,0.300000012,0.927577674,0.000493345,0.070738219,0.0011907
0.5,0.400000006,-0.400000006,0.962481856,0.000774274,0.024585752,0.012158049
0.5,0.800000012,0,0.482074648,0.043249078,0.40617907,0.068497166
0.5,2.099999905,0,0.494013369,0.126847968,0.061717611,0.317420989
0.5,0.600000024,0.300000012,0.721568644,0.002444144,0.192286268,0.083701007
0.5,0,0,0.541065454,0.00552782,0.44726488,0.00614179
0.838424623,1,0.5,0.641015232,0.071706273,0.252874345,0.034404192
0.703709841,0,0,0.872489691,0.001458234,0.122621462,0.003430595
0.833590746,0.300000012,0.300000012,0.783964813,0.002641486,0.158552215,0.054841455
0.5,3.900000095,0.200000003,0.948131084,0.000837127,0.035888653,0.015143145
0.5,0.5,0.100000001,0.903129697,0.000706462,0.086907811,0.009256054
0.5,0,0,0.581529319,0.006158567,0.406470269,0.005841807
0.5,1,0,0.786027372,0.016880998,0.191299126,0.005792448
0.5,2.799999952,0.300000012,0.520359039,0.010506944,0.459822267,0.009311768
0.969348192,0.600000024,0.200000003,0.848065197,0.003919419,0.141767755,0.006247616
0.749604762,2.299999952,-0.200000003,0.7212345,0.050348219,0.147757351,0.080659963
0.5,0,0,0.685651362,0.005882645,0.265507132,0.042958859
0.80328244,2.400000095,0,0.8780545,0.00171606,0.11284285,0.007386542
0.5,0,0,0.76279974,0.023151301,0.086944506,0.127104387
0.5,1.399999976,0,0.480055004,0.014335554,0.455915868,0.049693536
0.5,0,0,0.977495134,0.000220786,0.007327568,0.014956529
0.901556075,4.300000191,0,0.91543293,0.00231086,0.055699665,0.026556551
